"active","firstLevel","lastLevel","updates","address","hdao_value","percent_of_supply","date","timestamp"
TRUE,1673582,1673582,1,"tz1dpsehiZ3NYyNWFFUt4EDmw1F55LZ9Umxw",2.152613,0.000330612176713426,2022-11-27,"2022-11-27 12:00:08"
TRUE,1393076,1397929,5,"tz1cySsMmFsjMsSiKnwX1pjdKfyvkhU7PDrE",2.15,0.000330210855334362,2022-11-27,"2022-11-27 12:00:08"
TRUE,1780102,1780115,2,"tz1imNjiZ43eYTNegadvd7ZFYidUchrRMbjF",2.148404,0.000329965731369193,2022-11-27,"2022-11-27 12:00:08"
TRUE,2092319,2114022,7,"tz1WfswgoEMFgbTeRBs65oqMsWW1z8WXoCUs",2.134636,0.000327851153203498,2022-11-27,"2022-11-27 12:00:08"
TRUE,2404445,2404445,1,"tz1ehXth7x6tjx2C8iQ9JqzbChm2vybJ4oQ2",2.134448,0.000327822278951962,2022-11-27,"2022-11-27 12:00:08"
TRUE,1417992,1460271,38,"tz1RWQEBtyJTmCKnegt9tsr2W8Z2YhUSCcBX",2.133888,0.000327736270543131,2022-11-27,"2022-11-27 12:00:08"
TRUE,1413302,1416432,2,"tz1a3D5fSKuzYEYjk6TygPgEmRatfm3aVjDG",2.125,0.000326371194225823,2022-11-27,"2022-11-27 12:00:08"
TRUE,1469624,1469663,4,"tz1bgqYuDLDwUws7B7dYy5NQz9MLu3cGqGac",2.121797,0.000325879256844597,2022-11-27,"2022-11-27 12:00:08"
TRUE,1814014,1814030,2,"tz1fZYMb4bwyTiZZkrmjTJ1oKdGxrqCJFphV",2.115472,0.000324907822584136,2022-11-27,"2022-11-27 12:00:08"
TRUE,1660504,1660504,1,"tz1a5jr91P9gkxvT2fT5vAvHUvZGWQEfbzdH",2.111932,0.000324364126571167,2022-11-27,"2022-11-27 12:00:08"
TRUE,1660277,1660277,1,"tz1gADP7AXcZnydoJ2QFYPY6TeixXeLTZZQR",2.111846,0.000324350918136954,2022-11-27,"2022-11-27 12:00:08"
TRUE,1649170,1649170,1,"tz1XuJ8D5qUowqMFkUicbCyWhUoRtm3r5fFe",2.108417,0.000323824270219307,2022-11-27,"2022-11-27 12:00:08"
TRUE,1796533,1799354,2,"tz2HPsNGszoWJf93vYiuET8p8fjgyHZEhe5E",2.104024,0.000323149564969314,2022-11-27,"2022-11-27 12:00:08"
TRUE,1494312,1521090,5,"tz1gwjteH3fcV5V63mZisphCfYkStyyMJPrb",2.102797,0.000322961114402107,2022-11-27,"2022-11-27 12:00:08"
TRUE,1453261,1643013,5,"tz1YUkMvEarh3tGKte9mXL545KJQDYddkQ1S",2.102442,0.000322906591214366,2022-11-27,"2022-11-27 12:00:08"
TRUE,1680739,2019569,6,"tz1i72nwqWZuzJJCiZ4ZxMdFKvjRKyUZTRxR",2.100275,0.000322573769389478,2022-11-27,"2022-11-27 12:00:08"
TRUE,1477519,1477519,1,"tz1asUuzHHrnX6Y3db9fFDC9XDhwYWs2sM6w",2.098466,0.000322295931511664,2022-11-27,"2022-11-27 12:00:08"
TRUE,1782457,1782457,1,"tz1YRkFhgcpaCmR8seQ4Pzxh1jErG3BxmCKL",2.097154,0.000322094426096688,2022-11-27,"2022-11-27 12:00:08"
TRUE,1532349,1776888,3,"tz2QYdUVyjT1jLs7R5kXj8MNT4HgMxG1b31a",2.089466,0.00032091365351259,2022-11-27,"2022-11-27 12:00:08"
TRUE,1376497,1916900,26,"tz1Qz646qrfrc5XG5pz3n696EDwSapC4djb6",2.088097,0.000320703393670286,2022-11-27,"2022-11-27 12:00:08"
TRUE,1439995,1442116,3,"tz1PnAkBMTCp7rEoEedrUQMFYuLYb91ZpzUo",2.08642,0.000320445829203125,2022-11-27,"2022-11-27 12:00:08"
TRUE,1680617,1920145,4,"tz1hjczuxDLZD3JxYtyU8orp4QTRNzVrcJxc",2.085253,0.000320266593822579,2022-11-27,"2022-11-27 12:00:08"
